#Precision	Relative Error
-2.302585092994045	-7.089743498469608
-4.605170185988091	-11.695243762673584
-6.907755278982137	-16.298571274736947
-9.210340371976182	-19.562477612921192
-11.512925464970229	-13.067704466079880
-13.815510557964274	-9.438183493587339
-16.118095650958320	-3.260089144855347
-18.420680743952367	0.000000000000000
-20.723265836946410	0.000000000000000
-23.025850929940457	0.000000000000000
-25.328436022934504	0.000000000000000
-27.631021115928547	0.000000000000000
-29.933606208922594	0.000000000000000
-32.236191301916641	28.508170756395543
-34.538776394910684	33.113340942384056
